title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
"1952, Newala District,  United Republic of Tanzania, Chikungunya epidemic data and knowledge"	"Information about the 1952, Newala District,  United Republic of Tanzania Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	2015-09-17	2015-10-23	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/40	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/40.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Makonde plateau and lowland	288524	null	null	null	TRUE	FALSE	humans in region of Tanzania; Aedes aegypti in region of Tanzania; Aedes albopictus in region of Tanzania; Chikungunya virus in region of Tanzania	http://www.pitt.edu/obc/IDE_0000000396; http://www.pitt.edu/obc/IDE_0000001255; http://www.pitt.edu/obc/IDE_0000001256; http://www.pitt.edu/obc/IDE_0000001583
"2005 - 2006, Réunion, Chikungunya epidemic data and knowledge"	"Information about the 2005 - 2006, Réunion Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	null	2015-10-23	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/39	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/39.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Réunion	5035	RE	638	REU	TRUE	FALSE	humans in region of Réunion; Aedes aegypti in region of Réunion; Aedes albopictus in region of Réunion; Chikungunya virus in region of Réunion	http://www.pitt.edu/obc/IDE_0000001495; http://www.pitt.edu/obc/IDE_0000001633; http://www.pitt.edu/obc/IDE_0000001634; http://www.pitt.edu/obc/IDE_0000001612
"2006, Mayotte, France, Chikungunya epidemic data and knowledge"	"Information about the 2006, Mayotte, France Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	null	2015-10-23	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/38	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/38.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Mayotte	7468	FR-YT	null	null	TRUE	FALSE	humans in region of Mayotte; Aedes aegypti in region of Mayotte; Aedes albopictus in region of Mayotte; Chikungunya virus in region of Mayotte	http://www.pitt.edu/obc/IDE_0000001480; http://www.pitt.edu/obc/IDE_0000001632; http://www.pitt.edu/obc/IDE_0000001637; http://www.pitt.edu/obc/IDE_0000001580
"2007, Ravenna, Emilia-Romagna, Italy, Chikungunya epidemic data and knowledge"	"Information about the 2007, Ravenna, Emilia-Romagna, Italy Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	2015-08-06	2015-08-13	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/41	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/41.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Ravenna Province	337530	null	null	null	TRUE	FALSE	humans in region of Italy; Aedes aegypti in region of Italy; Aedes albopictus in region of Italy; Chikungunya virus in region of Italy	http://www.pitt.edu/obc/IDE_0000000826; http://www.pitt.edu/obc/IDE_0000001295; http://www.pitt.edu/obc/IDE_0000001296; http://www.pitt.edu/obc/IDE_0000001620
"2012, Kampong Spueu, Cambodia, Chikungunya epidemic data and knowledge"	"Information about the 2012, Kampong Spueu, Cambodia Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	2015-08-20	2015-10-23	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/37	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/37.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Kampong Spueu	6789	KH-5	null	null	TRUE	FALSE	humans in region of Cambodia; Aedes aegypti in region of Cambodia; Aedes albopictus in region of Cambodia; Chikungunya virus in region of Cambodia	http://www.pitt.edu/obc/IDE_0000000922; http://www.pitt.edu/obc/IDE_0000001411; http://www.pitt.edu/obc/IDE_0000001412; http://www.pitt.edu/obc/IDE_0000001595
"2014 - 2016, Paraguay, Chikungunya epidemic data and knowledge"	"Information about the 2014 - 2016, Paraguay Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	null	2015-03-21	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/76	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/76.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Paraguay	4979	PY	600	PRY	TRUE	FALSE	humans in region of Paraguay; Aedes aegypti in region of Paraguay; Aedes albopictus in region of Paraguay; Chikungunya virus in region of Paraguay	http://www.pitt.edu/obc/IDE_0000000960; http://www.pitt.edu/obc/IDE_0000001337; http://www.pitt.edu/obc/IDE_0000001338; http://www.pitt.edu/obc/IDE_0000001586
"2014 - ongoing, Anguilla, Chikungunya epidemic data and knowledge"	"Information about the 2014 - ongoing, Anguilla Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	null	2015-03-21	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/42	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/42.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Anguilla	5056	AI	660	AIA	TRUE	FALSE	humans in region of Anguilla; Aedes aegypti in region of Anguilla; Aedes albopictus in region of Anguilla; Chikungunya virus in region of Anguilla	http://www.pitt.edu/obc/IDE_0000001447; http://www.pitt.edu/obc/IDE_0000001311; http://www.pitt.edu/obc/IDE_0000001312; http://www.pitt.edu/obc/IDE_0000001618
"2014 - ongoing, Antigua and Barbuda, Chikungunya epidemic data and knowledge"	"Information about the 2014 - ongoing, Antigua and Barbuda Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	null	2015-03-21	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/43	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/43.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Antigua and Barbuda	5097	AG	28	ATG	TRUE	FALSE	humans in region of Antigua and Barbuda; Aedes aegypti in region of Antigua and Barbuda; Aedes albopictus in region of Antigua and Barbuda; Chikungunya virus in region of Antigua and Barbuda	http://www.pitt.edu/obc/IDE_0000000889; http://www.pitt.edu/obc/IDE_0000001275; http://www.pitt.edu/obc/IDE_0000001276; http://www.pitt.edu/obc/IDE_0000001597
"2014 - ongoing, Argentina, Chikungunya epidemic data and knowledge"	"Information about the 2014 - ongoing, Argentina Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	null	2015-03-21	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/44	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/44.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Argentina	4977	AR	32	ARG	TRUE	FALSE	humans in region of Argentina; Aedes aegypti in region of Argentina; Aedes albopictus in region of Argentina; Chikungunya virus in region of Argentina	http://www.pitt.edu/obc/IDE_0000000802; http://www.pitt.edu/obc/IDE_0000001349; http://www.pitt.edu/obc/IDE_0000001350; http://www.pitt.edu/obc/IDE_0000001604
"2014 - ongoing, Aruba, Chikungunya epidemic data and knowledge"	"Information about the 2014 - ongoing, Aruba Chikungunya epidemic curated from multiple publications and reports. The information is represented in machine-interpretable Apollo-XSD format. The terminology is defined by the Apollo-SV ontology and standard identifiers."	identifier will be created at time of release	null	Wilbert van Panhuis	null	2015-03-21	null	http://epimodels.org/apolloLibraryViewer-4.0.1/main/epidemic/45	http://epimodels.org/apolloLibraryViewer-4.0.1/epidemic/45.xml?view=true	xml; json	Apollo XSD; bsg-s000701	null	Aruba	4971	AW	533	ABW	TRUE	FALSE	humans in region of Aruba; Aedes aegypti in region of Aruba; Aedes albopictus in region of Aruba; Chikungunya virus in region of Aruba	http://www.pitt.edu/obc/IDE_0000001443; http://www.pitt.edu/obc/IDE_0000001279; http://www.pitt.edu/obc/IDE_0000001280; http://www.pitt.edu/obc/IDE_0000001581
