name	identifier	identifier_source	type	type_IRI	description	licenses	version
ape coding scheme for DNA sequences	MIDAS-ISG:dna-sequences-for-ape-v1.0	MIDAS-ISG	null	null	This specification describes the coding scheme used in ape since version 1.10 for DNA sequences. Its aim is to provide fast algorithms and efficient programs for comparing sequences, particularly to compute evolutionary distances.	No License Specified.	1
Apollo Case Series	APOLLO:CaseSeries-v4.0.1	APOLLO	http://purl.obolibrary.org/obo/APOLLO_SV_00000559	Michael Wagner, John Levander, Nicholas Millett, William Hogan	The type declaration of the InfectiousDiseaseScenario from the Apollo Data Types - v4.0.1	"""case series"""	4.0.1
Apollo Epidemic	APOLLO:Epidemic-v4.0.1	APOLLO	http://purl.obolibrary.org/obo/APOLLO_SV_00000298	Michael Wagner, John Levander, Nicholas Millett, William Hogan	The type declaration of the InfectiousDiseaseScenario from the Apollo Data Types - v4.0.1	"""epidemic"""	4.0.1
Apollo Infectious Disease Scenario	APOLLO:InfectiousDiseaseScenario-v4.0.1	APOLLO	infectious disease scenario	http://purl.obolibrary.org/obo/APOLLO_SV_00000184	The type delcaration of the InfectiousDiseaseScenario from the Apollo Data Types - v4.0.1	Apache License 2.0	4.0.1
Epi-Data JSON	MIDAS-ISG:epi-data-json-v1.0	MIDAS-ISG	Epi-data output	null	Epi-Data JSON is the output format for storing query results from calls to the EpiData	MIT	1
EpiCaseFormat	MIDAS-ISG:epi-case-format-v1.2	MIDAS-ISG	disease surveillance data	http://purl.obolibrary.org/obo/APOLLO_SV_00000554	This specification describes two tabular formats for representing count data for a location at a point in time. The formats differ in that one represents locations as points using latitude and longitude, and the other format represents locations as polygons using an ID from the Apollo Location Service.	Creative Commons Attribution 3.0 United States	1.2
EpiVis Input Format	MIDAS-ISG:epivis-csv-v38	MIDAS-ISG	null	null	This specification describes the tabular format used to import time series data into EpiVis.	No License Specified.	38
FASTA Sequence Format	BIOSHARING.ORG:bsg-s000228	biosharing.org	sequence data	http://purl.obolibrary.org/obo/OBI_0000973	FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes. The format also allows for sequence names and comments to precede the sequences.	No License Specified.	FASTA
FluSight Forecast	MIDAS-ISG:flusight-forecast-v1.0	MIDAS-ISG	null	null	This specification describes the tabular format used to submit forecasts to the FluSight influenza challenge.		1
Galapagos-CSV	MIDAS-ISG:galapagos-input-format-v1.0	MIDAS-ISG	disease transmission model output	null	This specification describes a tabular format in which output from a disease transmission model is represented.	Creative Commons Attribution 3.0 United States	1
GeoJSON	IETF:rfc7946	IETF	location information	null	GeoJSON is a format for encoding a variety of geographic data structures.	Creative Commons Attribution 3.0 United States	RFC 7946
hladish dengue transmission model	MIDAS-ISG:hladish-dengue-model-v2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes four tabular formats named: population-yucatan.txt, locations-yucatan.txt, immunity-yucatan.txt, network-yucatan.txt	GNU General Public License	2
newick tree format	BIOSHARING.ORG:bsg-s000250	biosharing.org	mathematical tree	null	This specification describes how to represent a tree using nested parentheses.	No License Specified.	
NEXUS	MIDAS-ISG:nexus-v1.0	MIDAS-ISG	null	null	NEXUS is a file format designed to contain systematic data for use by computer programs. The format is widely used in bioinformatics. Several popular phylogenetic programs such as PAUP*, MrBayes, Mesquite, MacClade and SplitsTree use this format.	No License Specified.	1
Omnivore-CSV	MIDAS-ISG:omnivore-output-format-v2.0	MIDAS-ISG	disease surveillance data	http://purl.obolibrary.org/obo/APOLLO_SV_00000554	This specification describes a tabular format for reporting case count data. The data are coded using standard systems, including ISO 8106 for representing time, SNOMED for identifying diseases, and Apollo XSD for identifying locations, case types, and case count types.	Creative Commons Attribution 3.0 United States	2
PHYLIP-format	UW-DGS-DB:phylip-format-v3.695	UW-DGS-DB	sequence data	http://purl.obolibrary.org/obo/OBI_0000973	This specification describes the PHYLIP format, a format used for most input and output files used by PHYLIP, the Phylogeny Inference Package. PHYLIP is a package of programs for inferring phylogenies (evolutionary trees). It has been distributed since 1980, and has over 30,000 registered users, making it the most widely distributed package of phylogeny programs.		3.695
SPEW.CANADA	MIDAS-ISG:spew-canada-format-v1.2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes two tabular formats: one for households and the other for persons.		1.2.0
SPEW.IPUMS	MIDAS-ISG:spew-ipums-format-v1.2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes two tabular formats: one for households and the other for persons.		1.2.0
SPEW.US	MIDAS-ISG:spew-us-format-v1.2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes four tabular formats: for representing households, persons, schools and workplaces.		1.2.0
Synthia	MIDAS-ISG:synthia-us-v2010	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes a tabular format that describes a nationwide synthetic population of households and persons called the 2010 U.S. Synthesized Population dataset, which was developed by RTI International. The synthetic population is a detailed, spatially-explicit representation of the socio-demographic distribution of the U.S. population in a microdata form. The data are distributed in a compressed file containing a series of ASCII files with comma separated value.		2010 U.S. Synthesized Population
Tycho dataset	Eventually, but not before May 15th there will be a biosharing id	biosharing.org	disease surveillance data	http://purl.obolibrary.org/obo/APOLLO_SV_00000554	XML format for Tycho v2.0 country-condition disease surveillance datasets	https://www.tycho.pitt.edu/legal/license_agreement.html	1
