title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus
Sixth (6th) grade immunization data, 2014-2015	Immunization status of Washington State sixth graders for school year 2014-15	http://data.wa.gov/api/views/mgne-w2kv	Department Of Health	data.wa.gov	2015-11-25	null	null	https://data.wa.gov/d/mgne-w2kv	https://data.wa.gov/api/views/mgne-w2kv/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Legionellosis to Malaria (2018)	NNDSS - Table II. Legionellosis to Malaria - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  	http://data.cdc.gov/api/views/acdz-tk8j	Legionellosis	Centers for Disease Control and Prevention	2018-02-03	null	null	https://data.cdc.gov/d/acdz-tk8j	https://data.cdc.gov/api/views/acdz-tk8j/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
ODS/MODS Dataset for Influenza A and B in Allegheny County Pennsylvania	null	null	null	Real-time Outbreak and Disease Surveillance Laboratory	null	null	null	there is no landing page	this is not accessable	null	null	null	Allegheny County	42003	null	null	null	null	null
SY2016-2017 K-12 Socrata	2016-17 school year K-12 vaccination coverage levels	http://data.kingcounty.gov/api/views/umzp-ysxj	Child	data.kingcounty.gov	2017-04-20	null	null	https://data.kingcounty.gov/d/umzp-ysxj	https://data.kingcounty.gov/api/views/umzp-ysxj/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
Kindergarten Immunization Data, 2015-2016	Washington kindergarten immunization rates by school for 2015-2016	http://data.wa.gov/api/views/raxi-vijr	Department Of Health	data.wa.gov	2016-04-13	null	null	https://data.wa.gov/d/raxi-vijr	https://data.wa.gov/api/views/raxi-vijr/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
Kindergarten Immunization Data, 2014-2015	Immunization status of Washington State kindergartners for school year 2014-15	http://data.wa.gov/api/views/3nrj-de9w	Department Of Health	data.wa.gov	2015-11-25	null	null	https://data.wa.gov/d/3nrj-de9w	https://data.wa.gov/api/views/3nrj-de9w/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
SY2016-2017 Kindergarten	2016-17 school year kindergarten immunization assessment	http://data.kingcounty.gov/api/views/kvid-h825	Health	data.kingcounty.gov	2017-04-20	null	null	https://data.kingcounty.gov/d/kvid-h825	https://data.kingcounty.gov/api/views/kvid-h825/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
Kindergarten Immunization Data, 2016-17	Kindergarten immunization coverage for school year 2016-2017 by school	http://data.wa.gov/api/views/kck7-yb2v	Department Of Health	data.wa.gov	2017-05-11	null	null	https://data.wa.gov/d/kck7-yb2v	https://data.wa.gov/api/views/kck7-yb2v/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
State Specific Influenza Vaccination Coverage Among Women With Live Birth- PRAMS, 2009-10 Influenza Season	For more information about the Pregnancy Risk Assessment Monitoring System please visit http://www.cdc.gov/prams/. See http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6107a1.htm?s_cid=mm6107a1_e for the MMWR article. 	http://data.cdc.gov/api/views/mmi4-8ajr	Flu Shot	Centers for Disease Control and Prevention	2015-09-28	null	null	https://data.cdc.gov/d/mmi4-8ajr	https://data.cdc.gov/api/views/mmi4-8ajr/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
Immunization data for all students, kindergarten through 12th grade, 2014-2015 school year	Immunization status of Washington State students for school year 2014-15	http://data.wa.gov/api/views/i89p-imif	Department Of Health	data.wa.gov	2015-11-25	null	null	https://data.wa.gov/d/i89p-imif	https://data.wa.gov/api/views/i89p-imif/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
SY2016-17 6th Grade Socrata	2016-17 school year 6th grade immunizations	http://data.kingcounty.gov/api/views/c43n-zic7	Child	data.kingcounty.gov	2017-04-20	null	null	https://data.kingcounty.gov/d/c43n-zic7	https://data.kingcounty.gov/api/views/c43n-zic7/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
Sixth (6th) grade immunization data by school, 2015-2016	Washington sixth grade immunization rates by school for 2015-2016	http://data.wa.gov/api/views/9vf7-7een	Department Of Health	data.wa.gov	2016-04-13	null	null	https://data.wa.gov/d/9vf7-7een	https://data.wa.gov/api/views/9vf7-7een/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
All students, kindergarten through 12th grade, immunization data by school, 2015-2016	Washington student immunization rates by school for 2015-2016	http://data.wa.gov/api/views/ie96-cgrn	Department Of Health	data.wa.gov	2016-04-13	null	null	https://data.wa.gov/d/ie96-cgrn	https://data.wa.gov/api/views/ie96-cgrn/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Giardiasis to Haemophilus influenza (2014)	NNDSS - Table II. Giardiasis to Haemophilus influenza - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  	http://data.cdc.gov/api/views/m6gf-vfkz	Giardiasis	Centers for Disease Control and Prevention	2018-02-01	null	null	https://data.cdc.gov/d/m6gf-vfkz	https://data.cdc.gov/api/views/m6gf-vfkz/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table IV. Tuberculosis (2015)	NNDSS - Table IV. Tuberculosis - 2015.This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States will exclude counts from US territories. Footnote:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Min: Minimum. Max: Maximum. * Case counts for reporting year 2014 and 2015 are provisional through the end of the quarter, January 2, 2016. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS... Data for TB are displayed quarterly. 	http://data.cdc.gov/api/views/ei7y-3g6s	Tb	Centers for Disease Control and Prevention	2016-05-07	null	null	https://data.cdc.gov/d/ei7y-3g6s	https://data.cdc.gov/api/views/ei7y-3g6s/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table I. infrequently reported notifiable diseases (2016)	NNDSS - Table I. infrequently reported notifiable diseases - 2016. In this Table, provisional* cases of selected? infrequently reported notifiable diseases (<1,000 cases reported during the preceding year) are displayed. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in these tables are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. ?Symbols and footnotes changed in week #4, please refer to the MMWR publication for the symbols/footnotes for weeks 1, 2, and 3?. Footnote: -: No reported cases N: Not reportable NA: Not available NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. * Case counts for reporting year 2016 are provisional and subject to change. Data for years 2011 through 2015 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... ? This table does not include cases from the U.S. territories. Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions. § Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks following the current week, for a total of 5 preceding years. Additional information is available at http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf. ¶ Includes both neuroinvasive and nonneuroinvasive. Updated weekly reports from the Division of Vector-Borne Diseases, National Center for Emerging and Zoonotic Infectious Diseases (ArboNET Surveillance). Data for West Nile virus are available in Table II. ** Not reportable in all reporting jurisdictions. Data from states where the condition is not reportable are excluded from this table, except for the arboviral diseases and influenza-associated pediatric mortality. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. ?? Office of Management and Budget approval of the NNDSS Revision #0920-0728 on January 21, 2016, authorized CDC to receive data for these conditions. CDC is in the process of soliciting data for these conditions (except Zika virus, congenital infection). CDC and the U.S. states are still modifying the technical infrastructure needed to collect and transmit data for Zika virus congenital infections. §§ Jamestown Canyon virus and Lacrosse virus have replaced California serogroup diseases. ¶¶ Data for Haemophilus influenzae (all ages, all serotypes) are available in Table II. *** Please refer to the MMWR publication for weekly updates to the footnote for this condition. ??? Please refer to the MMWR publication for weekly updates to the footnote for this condition. §§§ Data for meningococcal disease (all serogroups) are available in Table II. ¶¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition. **** Updated weekly from reports to the Division of STD Prevention, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention. ???? Please refer to the MMWR publication for weekly updates to the footnote for this condition. §§§§ All cases reported have occurred in travelers returning from affected areas, with their sexual contacts, or infants infected in utero. 	http://data.cdc.gov/api/views/dwqk-w36f	Anthrax	Centers for Disease Control and Prevention	2016-05-07	null	null	https://data.cdc.gov/d/dwqk-w36f	https://data.cdc.gov/api/views/dwqk-w36f/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
Adult and Children Vaccinations Provided	This dataset contains information on the number of Vaccine for Children (VFC) and adult safety net (ASN) eligible clients that are immunized, on a monthly basis, through the Austin Public Health ?Shots for Tots? and ?Big Shots? programs at the St. John and Far South clinics. The data is extracted from the Texas Department of State Health Services? Texas-Wide Integrated Client Encounter System (TWICES) into an aggregate report for each clinic by an Austin Public Health employee at the beginning of each month.  No warranty is made by the City of Austin regarding the specific accuracy, relevance, or completeness of this dataset.	http://data.austintexas.gov/api/views/nttt-2a35	Clinic	data.austintexas.gov	2016-04-18	null	null	https://data.austintexas.gov/d/nttt-2a35	https://data.austintexas.gov/api/views/nttt-2a35/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
