title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Brazil Epidemiological and Morbidity	Brazil Ministry of Health website, section for epidemiological and moribidity information, including hospital morbidity, cases of AIDS since 1980 (in temporary maintenance), cases of Leprosy since 2001, and diseases and injuries from 2001-present.	Brazil Ministry of Health public disease surveillance website	null	Anonymous 	null	null	null	http://www2.datasus.gov.br/DATASUS/index.php?area=0203	null	null	null	null	Brazil		BR	null	BRA
CDC epi github of publically available Zika data	Data repository of publicly available Zika data	CDCEpi Zika Github	null	Dania M  Rodriguez, Mike Johansson	null	null	2017-05-11	https://github.com/cdcepi/zika	null	null	null	null	Argentina, Brazil, Colombia, Dominican Republic, Ecuador, El Salvador, France, Guatemala, Haiti, Mexico, Nicaragua, Panama, Puerto Rico, US Virgin Islands, United States		null	null	null
National Disease Surveillance & Response (NDSR) reports, Disease Early Warning System Reports, and Polio Surveillance Reports	This website with data contains data about notifiable diseases, morbidity, mortality, rate of vaccination coverage and polio cases in Afghanistan for 2012-2013, 2008-2017, 2013-2015 in PDF format. Spatial coverage is country, and spatial resolution is province, district. Temporal coverage is 2012-2013, 2008-2017, 2013-2015, and temporal resolution is yearly, quarterly, weekly. Open access.	MIDAS-ISG:WS-000001	null	Ministry of Public Health of the Islamic Republic of Afghanistan	null	null	null	http://moph.gov.af/en/documents	null	PDF	null	null	Afghanistan		AF	null	null
Information on Infectious Diseases in the Republic of Andorra	This website with data contains data about incidences of communicable diseases in Andorra by age, gender and comparison with the previous year from 2000 to 2015 in PDF format. Spatial coverage is country, and spatial resolution is country, community. Temporal coverage is 2000-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000008	null	Carlos III Health Institute	null	null	null	http://www.isciii.es/ISCIII/es/contenidos/fd-servicios-cientifico-tecnicos/fd-vigilancias-alertas/fd-sistema-informacion-microbiologica/informes-generales.shtml	null	PDF	null	null	Andorra		AD	null	null
Weekly Epidemiological Bulletins of the Republic of Andorra	This website with data contains data about weekly incidences of reportable infectious diseases in Spain by region, week and year in PDF format. Spatial coverage is country, and spatial resolution is country, city. Temporal coverage is 2008-2017, and temporal resolution is weekly. Open access.	MIDAS-ISG:WS-000010	null	Carlos III Health Institute	null	null	null	http://www.isciii.es/ISCIII/es/contenidos/fd-servicios-cientifico-tecnicos/fd-vigilancias-alertas/fd-boletines/boletin-epidemiologico-semanal-red.shtml	null	PDF	null	null	Andorra		AD	null	null
Yearly Epidemiological Bulletins of the Republic of Angola	This website with data contains data about notifiable infectious diseases in Angola from 2014 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country, province. Temporal coverage is 2014-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000011	null	Ministry of Health of Angola	null	null	null	http://www.minsa.gov.ao/VerPublicacao.aspx?id=1556	null	PDF	null	null	Angola		AO	null	null
Weekly Epidemiological Bulletins of the Republic of Argentina	This website with data contains data about notifitious diseases from Argentina at country level with a weekly temporal resolution from 2009 to 2017 in PDF format in Spanish. Open access.	MIDAS-ISG:WS-000016	null	Ministry of Health of the Republic of Argentina	null	null	null	http://www.msal.gob.ar/index.php/home/boletin-integrado-de-vigilancia	null	PDF	null	null	Argentina		AR	null	null
Information on Confirmed Notifiable Infectious Diseases of the Government of Australia	This database contains data about notifiable diseases surveillance from Australia from 1991 to 2016 in RDF, JSON, XML, and HTML format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1991-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000023	null	The Australian Government Department of Health	null	null	null	https://data.gov.au/dataset/national-notifiable-diseases-surveillance-system	null	RDF, JSON, XML, HTML	null	null	Australia		AU	null	null
Summary Data on Notifiable Infectious Disease of the Government of Australia	This database contains data about notifications of all diseases and selected diseases from Australia at country level with a yearly temporal resolution from 1991 to 2017 as a tabular visualization on the webpage. Open access.	MIDAS-ISG:WS-000024	null	Australian Government Department of Health	null	null	null	http://www9.health.gov.au/cda/source/cda-index.cfm	null	HTML	null	null	Australia		AU	null	null
Data on Invasive Pneumococcal Disease from the Goverment of Australia	This dataset contains data about Invasive pneumococcal disease in Australia at country level with a yearly temporal resolution from 2009 to 2015 in XLSX, PDF, and DOC format. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 2009-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000025	null	National Notifiable Diseases Surveillance System, Deaprtment of Health, the Government of Australia	null	null	null	http://www9.health.gov.au/cda/source/pub_pneum.cfm	null	XLSX, PDF, DOC	null	null	Australia		AU	null	null
Data on Influenza of the Government of Australia, 2009-2015	This dataset contains data about influenza in Australia at country level with a yearly temporal resolution from 2009 to 2015 in XLSX, PDF, and DOC format. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 2009-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000026	null	National Notifiable Diseases Surveillance System, Deaprtment of Health, the Government of Australia	null	null	null	http://www9.health.gov.au/cda/source/pub_influ.cfm	null	XLSX, PDF, DOC	null	null	Australia		AU	null	null
Data on Meningococcal Disease of the Goverment of Australia, 2009-2015	This dataset contains data about meningococcal disease in Australia at country level with a yearly temporal resolution from 2009 to 2015 in XLSX, PDF, and DOC format. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 2009-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000027	null	National Notifiable Diseases Surveillance System, Deaprtment of Health, the Government of Australia	null	null	null	http://www9.health.gov.au/cda/source/pub_menin.cfm	null	XLSX, PDF, DOC	null	null	Australia		AU	null	null
Data on Salmonella of the Government of Australia, 2009-2015	This dataset contains data about salmonella in Australia at country level with a yearly temporal resolution from 2009 to 2015 in XLSX, PDF, and DOC format. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 2009-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000028	null	National Notifiable Diseases Surveillance System, Deaprtment of Health, the Government of Australia	null	null	null	http://www9.health.gov.au/cda/source/pub_salmo.cfm	null	XLSX, PDF, DOC	null	null	Australia		AU	null	null
