title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3	population_required	iri
"Kindergarten Immunization Data, 2015-2016"	Washington kindergarten immunization rates by school for 2015-2016	https://data.wa.gov/api/views/raxi-vijr	Department Of Health	data.wa.gov	4/13/16	null	null	https://data.wa.gov/d/raxi-vijr	https://data.wa.gov/api/views/raxi-vijr/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"Kindergarten Immunization Data, 2016-17"	Kindergarten immunization coverage for school year 2016-2017 by school	https://data.wa.gov/api/views/kck7-yb2v	Department Of Health	data.wa.gov	5/11/17	null	null	https://data.wa.gov/d/kck7-yb2v	https://data.wa.gov/api/views/kck7-yb2v/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"State Specific Influenza Vaccination Coverage Among Women With Live Birth- PRAMS, 2009-10 Influenza Season"	For more information about the Pregnancy Risk Assessment Monitoring System please visit http://www.cdc.gov/prams/. See http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6107a1.htm?s_cid=mm6107a1_e for the MMWR article. 	https://data.cdc.gov/api/views/mmi4-8ajr	Flu Shot	Centers for Disease Control and Prevention	9/28/15	null	null	https://data.cdc.gov/d/mmi4-8ajr	https://data.cdc.gov/api/views/mmi4-8ajr/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
SY2016-2017 K-12 Socrata	2016-17 school year K-12 vaccination coverage levels	https://data.kingcounty.gov/api/views/umzp-ysxj	Child	data.kingcounty.gov	4/20/17	null	null	https://data.kingcounty.gov/d/umzp-ysxj	https://data.kingcounty.gov/api/views/umzp-ysxj/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"All students, kindergarten through 12th grade, immunization data by school, 2016-2017"	Washington student immunization rates by school for 2016-2017	https://data.wa.gov/api/views/9zru-c2kz	Department Of Health	data.wa.gov	5/11/17	null	null	https://data.wa.gov/d/9zru-c2kz	https://data.wa.gov/api/views/9zru-c2kz/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"Sixth (6th) grade immunization data by school, 2016-2017"	Sixth grade immunization coverage for school year 2016-2017 by school	https://data.wa.gov/api/views/emhz-m99x	Department Of Health	data.wa.gov	5/11/17	null	null	https://data.wa.gov/d/emhz-m99x	https://data.wa.gov/api/views/emhz-m99x/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"Sixth (6th) grade immunization data, 2014-2015"	Immunization status of Washington State sixth graders for school year 2014-15	https://data.wa.gov/api/views/mgne-w2kv	Department Of Health	data.wa.gov	11/25/15	null	null	https://data.wa.gov/d/mgne-w2kv	https://data.wa.gov/api/views/mgne-w2kv/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"Immunization data for all students, kindergarten through 12th grade, 2014-2015 school year"	Immunization status of Washington State students for school year 2014-15	https://data.wa.gov/api/views/i89p-imif	Department Of Health	data.wa.gov	11/25/15	null	null	https://data.wa.gov/d/i89p-imif	https://data.wa.gov/api/views/i89p-imif/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"NNDSS - Table II. Hepatitis (viral, acute) (2016)"	"NNDSS - Table II. Hepatitis (viral, acute) - 2016. In this Table, provisional* cases of selected? notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting year 2016 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... Data for TB are displayed in Table IV, which appears quarterly. ? Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions.  "	https://data.cdc.gov/api/views/7vnz-2mjz	Hepatitis	Centers for Disease Control and Prevention	8/11/16	null	null	https://data.cdc.gov/d/7vnz-2mjz	https://data.cdc.gov/api/views/7vnz-2mjz/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Hepatitis A virus in the United States, Hepatitis B virus in the United States, Hepatitis C virus in the United States, Hepatitis E virus in the United States"	"http://www.pitt.edu/obc/IDE_0000000270, http://www.pitt.edu/obc/IDE_0000001867, http://www.pitt.edu/obc/IDE_0000005354, http://www.pitt.edu/obc/IDE_0000005356"
NNDSS - Table II. Meningococcal to Pertussis (2017)	"NNDSS - Table II. Meningococcal to Pertussis - 2017. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:  C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions.  ? Case counts for reporting year 2017 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for tuberculosis are displayed in Table IV, which appears quarterly. § Data for meningococcal disease, invasive caused by serogroups ACWY, serogroup B, other serogroups, and unknown serogroups are available in Table I. "	https://data.cdc.gov/api/views/hatw-7gqy	Mumps	Centers for Disease Control and Prevention	1/19/17	null	null	https://data.cdc.gov/d/hatw-7gqy	https://data.cdc.gov/api/views/hatw-7gqy/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Neisseria meningitidis in the United States, Mumps virus in the United States, Bordetella pertussis in the United States"	"http://www.pitt.edu/obc/IDE_0000001426, http://www.pitt.edu/obc/IDE_0000001845, http://www.pitt.edu/obc/IDE_0000001436"
