title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
CDC WONDER US compressed mortality data	CDC WONDER US Compessed Mortality data. The Compressed Mortality data include mortality and population counts for all U.S. counties for the years 1968 to 2015. Counts and rates of death can be obtained by underlying cause of death, state, county, age, race, sex, and year.	CDC WONDER US cause of death 1968-2015	null	 US CDC	null	null	2017-05-11	https://wonder.cdc.gov/mortSQL.html	null	null	null	null	United States		null	null	USA
CDC WONDER US cause of death 1995-2015	CDC WONDER US cause of death 1995-2015	CDC WONDER US cause of death 1995-2015	null	 US CDC	null	null	2017-05-11	https://wonder.cdc.gov/ucd-icd10.html	null	null	null	null	United States		null	null	USA
Vital Statistics of the Republic of Albania	This website with data contains data about mortality, population by age and year, births and abortions in Albania for 2001-2017, 1990-2010, 1990-2016 year in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2001-2017, 1990-2010, 1990-2016, and temporal resolution is yearly. Open acccess.	MIDAS-ISG:WS-000004	null	INSTAT	null	null	null	http://www.instat.gov.al/al/temat/treguesit-demografik%C3%AB-dhe-social%C3%AB/lindjet-vdekjet-dhe-martesat/#tab2	null	XLSX	null	null	Albania		AL	null	null
Vital Statistics of the Republic of Andorra	This website with data contains data about vital statistics in Andorra by age from 1994 to 2015 in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage us 1994-2015, and temporal resolution is 4 years. Open access.	MIDAS-ISG:WS-000007	null	The Government of Andorra	null	null	null	http://www.salut.ad/temes-de-salut/salut-natalitat-i-mortalitat	null	PDF	null	null	Andorra		AD	null	null
Vital Statistucs of the Republic of Andorra	This website with data contains data about demographic, mortality rate, gender statistics in Andorra from 2009 to 2016 in XLSX, CSV format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2009-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000009	null	The Government of Andorra	null	null	null	http://www.estadistica.ad/serveiestudis/web/index.asp#	null	XLSX, CSV	null	null	Andorra		AD	null	null
Data on Vital Statistics of the Republic of Azerbaijan	This website with data contains data about yearly demographic, births and deaths in Azerbaijan from 1995 to 2017 in XLSX and PDF format. Spaital coverage is country, and spatial resolution is country. Temporal coverage is 1995-2017. Temporal resolution is yearly. Open acceess.	MIDAS-ISG:WS-000033	null	The State Statistical Committee of the Republic of Azerbaijan, database	null	null	null	http://www.azstat.org/MESearch/search?departament=21&lang=az	null	XLSX, PDF	null	null	Azerbaijan		AZ	null	null
Annual Data on Life Expectancy, General Mortality Rates, Number of Settlements Located in Zones with High Radiation, Population Migration, Natural Increase, Marriages, and Divorces in Belarus	This website with data contains data about demographic and vital statistics in Belarus from 1996 to 2017 by year and regions in HTML format. Spatial coverage is country, and spatial resoluation is country, subcountry, state. Temporal coverage is 1996-2017, and temporal resoluation is yearly.Open access.	MIDAS-ISG:WS-000042	null	National Statistical Committee of the Republic of Belarus, section: health care	null	null	null	http://www.belstat.gov.by/ofitsialnaya-statistika/solialnaya-sfera/demografiya_2/	null	HTML	null	null	Belarus		BY	null	null
Data on Vital Statistics of the Republic of Belarus	This website with data contains data about demographic in Belarus from 1939 to 2017 year in RTF, XLS, PDF, XML format. Spatial coverage is country and spatial resolution is country and city. Temporal coverage is 1939-2017. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000046	null	National Statistical Committee of the Republic of Belarus	null	null	null	http://dataportal.belstat.gov.by/Indicators/Search	null	XML, XLS, meta, RTF, PDF	null	null	Belarus		BY	null	null
Vital Statistics in Brazil	This website with data contains Brazilian national statistical data at province level with a yearly temporal resolution from 1992 to 2016 in XLSX and PDF format in Portuguese. Spatial coverage is country, and spatial resolution is province. Temporal coverage is 1992-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000064	null	Brazilian Institute of Geography and Statistics	null	null	null	http://www.ibge.gov.br/home/estatistica/populacao/estimativa2016/default.shtm	null	XLS,ODS, PDF	null	null	Brazil		BR	null	null
Data on Vital Statistics in British Virgin Islands	This website with data contains economic and financial data available, but no infectious disease data available.	MIDAS-ISG:WS-000065	null	The Government of The Virgin Islands	null	null	null	http://www.bvi.gov.vg/statistics?title=&field_stats_catergory_tid=All	null	PDF, CSV	null	null	British Virgin Islands		VG	null	null
Vital Statistics of the Department of Health Statistics and Information of Chile, 2007-2014	This website with data contains data about births and mortality rates from Chile at country, region and commune level with yearly temporal resolution from 2007 to 2014 in XLSX format in Spanish. Open access.	MIDAS-ISG:WS-000092	null	The Department of Health Statistics and Information of Chile	null	null	null	http://www.deis.cl/estadisticas-de-natalidad-y-mortalidad/	null	XLSX	null	null	Chile		CL	null	null
Demographics and Vital Statistics in Croatia	This website with data contains data about demographic and vital statistics in Croatia from 2007 to 2016 year in XLSX format. Spatial coverage is country, and spatial resolution is country and county. Temporal coverage is 2007-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000103	null	Croatian Bureau of Statistics	null	null	null	https://www.dzs.hr/default_e.htm	null	XLSX	null	null	Croatia		HR	null	null
Vital Statistics in Czechia	This database contains data about demographic and vital statistics in the Czech Republic from 2004 to 2016 year in XLS, HML, PDF format. Spatial coverage is country, and spatial resolution is country, region, district, municipality. Temporal coverage is 2004-2016, and temporal resolution is yearly. Open acccess.	MIDAS-ISG:WS-000108	null	Czech Statistical Office	null	null	null	https://vdb.czso.cz/vdbvo2/faces/en/index.jsf?page=statistiky#katalog=30845	null	XLS, HML, PDF	null	null	Czechia		CZ	null	null
Vital Statistics in Denmark	This database contains data about demographic, births and deaths in Denmark from 2006 to 2016 year in PX, XLSX, XLS, DBF, SAS, CSV, TXT, TSD, ASB format. Spatial coverage is country, and spatial resolution is country, region, municipality. Temporal coverags is 2006-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000112	null	Statistics Denmark	null	null	null	http://www.statbank.dk/10014	null	PX, XLSX, XLS, DBF, SAS, CSV, TXT, TSD, ASB	null	null	Denmark		DK	null	null
Demographics and Vital Statistcs in France, 1994-2017	This database contains data about demographic change, births and deaths in France from 1994 to 2017 year in CSV, dBase, Beyond format. Spatial coverage is country, and spatial resolution is country, municipality. Temporal coverage is 1994-2017, and temporal resolution is yearly, monthly. Open access.	MIDAS-ISG:WS-000132	null	National Institute of Statistics and Economic Studies, France	null	null	null	https://www.insee.fr/fr/statistiques?taille=100&debut=0&idprec=2117120&theme=1+2+3&categorie=3+10+19	null	CSV, dBase, Beyond	null	null	France		FR	null	null
Demographics and Vital Statistics in France , 2006-2016	This website with data contains data about population structure, births and mortality in France from 2006 to 2016 year in XLS format. Spatial coverage is country, and spatial resolution is country, Temporal coverage is 2006-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000133	null	INED/ Institue National D'Etudes Demographiques, France	null	null	null	http://www.ined.fr/fr/tout-savoir-population/chiffres/france/mortalite-cause-deces/causes-deces/#r152	null	XLS	null	null	France		FR	null	null
Leading Causes of Death in Guyana, 2000-2009	This website with data contains data about Mortality from Guyana at country level with a yearly temporal resolution form 2000 to 2009 in PDF format. Open access.	MIDAS-ISG:WS-000159	null	The Ministry of Health Guyana	null	null	null	http://www.paho.org/guy/index.php?option=com_docman&view=download&category_slug=not-communicable&alias=119-guyana-ncds-strategic-plan-2013-2020&Itemid=291	null	PDF	null	null	Guyana		GY	null	null
