title	datasetIdentifier	disease	authors	created	modified	curated	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Alabama Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/01/diags/us_diags_01.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/01/	null	SPEW.US format	Alabama	1611	US-AL	null	null
Alaska Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/02/diags/us_diags_02.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/02/	null	SPEW.US format	Alaska	1612	US-AK	null	null
Arizona Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/04/diags/us_diags_04.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/04/	null	SPEW.US format	Arizona	1576	US-AZ	null	null
Arkansas Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/05/diags/us_diags_05.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/05/	null	SPEW.US format	Arkansas	1577	US-AR	null	null
California Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/06/diags/us_diags_06.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/06/	null	SPEW.US format	California	1613	US-CA	null	null
Colorado Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/08/diags/us_diags_08.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/08/	null	SPEW.US format	Colorado	1578	US-CO	null	null
Connecticut Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/09/diags/us_diags_09.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/09/	null	SPEW.US format	Connecticut	1579	US-CT	null	null
Delaware Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/10/diags/us_diags_10.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/10/	null	SPEW.US format	Delaware	1614	US-DE	null	null
District of Columbia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/11/diags/us_diags_11.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/11/	null	SPEW.US format	District of Columbia	1580	US-DC	null	null
Florida Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/12/diags/us_diags_12.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/12/	null	SPEW.US format	Florida	1608	US-FL	null	null
Georgia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/13/diags/us_diags_13.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/13/	null	SPEW.US format	Georgia	1581	US-GA	null	null
Hawaii Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/15/diags/us_diags_15.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/15/	null	SPEW.US format	Hawaii	1615	US-HI	null	null
Idaho Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/16/diags/us_diags_16.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/16/	null	SPEW.US format	Idaho	1582	US-ID	null	null
Illinois Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/17/diags/us_diags_17.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/17/	null	SPEW.US format	Illinois	1583	US-IL	null	null
Indiana Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/18/diags/us_diags_18.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/18/	null	SPEW.US format	Indiana	1616	US-IN	null	null
Iowa Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/19/diags/us_diags_19.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/19/	null	SPEW.US format	Iowa	1584	US-IA	null	null
Kansas Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/20/diags/us_diags_20.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/20/	null	SPEW.US format	Kansas	1585	US-KS	null	null
Kentucky Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/21/diags/us_diags_21.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/21/	null	SPEW.US format	Kentucky	1617	US-KY	null	null
Louisiana Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/22/diags/us_diags_22.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/22/	null	SPEW.US format	Louisiana	1586	US-LA	null	null
Maine Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/23/diags/us_diags_23.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/23/	null	SPEW.US format	Maine	1618	US-ME	null	null
