title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Nigeria Synthetic Ecosystem	Nigeria synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574074	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000097	https://zenodo.org/record/574074/files/nga.tar.gz	null	SPEW.IPUMS format	null	Nigeria	318	NG	null	NGA
Pakistan Synthetic Ecosystem	Pakistan synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574077	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000100	https://zenodo.org/record/574077/files/pak.tar.gz	null	SPEW.IPUMS format	null	Pakistan	5085	PK	null	PAK
Bangladesh Synthetic Ecosystem	Bangladesh synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574033	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000056	https://zenodo.org/record/574033/files/bgd.tar.gz	null	SPEW.IPUMS format	null	Bangladesh	5039	BD	null	BGD
Thailand Synthetic Ecosystem	Thailand synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574090	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000113	https://zenodo.org/record/574090/files/tha.tar.gz	null	SPEW.IPUMS format	null	Thailand	4975	TH	null	THA
Vietnam Synthetic Ecosystem	Vietnam synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574098	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000121	https://zenodo.org/record/574098/files/vnm.tar.gz	null	SPEW.IPUMS format	null	Vietnam	5129	VN	null	VNM
District of Columbia Synthetic Ecosystem	District of Columbia synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573986	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000009	https://zenodo.org/record/573986/files/11.tar.gz	null	SPEW.US format	null	District of Columbia	1580	US-DC	null	null
Chile Synthetic Ecosystem	Chile synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574039	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000062	https://zenodo.org/record/574039/files/chl.tar.gz	null	SPEW.IPUMS format	null	Chile	4956	CL	null	CHL
El Salvador Synthetic Ecosystem	El Salvador synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574087	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000110	https://zenodo.org/record/574087/files/slv.tar.gz	null	SPEW.IPUMS format	null	El Salvador	5165	SV	null	SLV
Turkey Synthetic Ecosystem	Turkey synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574091	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000114	https://zenodo.org/record/574091/files/tur.tar.gz	null	SPEW.IPUMS format	null	Turkey	5100	TR	null	TUR
Mali Synthetic Ecosystem	Mali synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574069	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000092	https://zenodo.org/record/574069/files/mli.tar.gz	null	SPEW.IPUMS format	null	Mali	30	ML	null	MLI
