title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Alabama Synthetic Ecosystem	Alabama synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573978	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000001	https://zenodo.org/record/573978/files/01.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Alabama		US-AL	null	null
Alaska Synthetic Ecosystem	Alaska synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573979	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000002	https://zenodo.org/record/573979/files/02.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Alaska		US-AK	null	null
Arizona Synthetic Ecosystem	Arizona synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573980	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000003	https://zenodo.org/record/573980/files/04.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Arizona		US-AZ	null	null
Arkansas Synthetic Ecosystem	Arkansas synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573981	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000004	https://zenodo.org/record/573981/files/05.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Arkansas		US-AR	null	null
California Synthetic Ecosystem	California synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573982	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000005	https://zenodo.org/record/573982/files/06.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	California		US-CA	null	null
Colorado Synthetic Ecosystem	Colorado synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573983	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000006	https://zenodo.org/record/573983/files/08.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Colorado		US-CO	null	null
Connecticut Synthetic Ecosystem	Connecticut synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573984	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000007	https://zenodo.org/record/573984/files/09.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Connecticut		US-CT	null	null
Delaware Synthetic Ecosystem	Delaware synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573985	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000008	https://zenodo.org/record/573985/files/10.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Delaware		US-DE	null	null
District of Columbia Synthetic Ecosystem	District of Columbia synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573986	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000009	https://zenodo.org/record/573986/files/11.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	District of Columbia		US-DC	null	null
Florida Synthetic Ecosystem	Florida synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573987	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000010	https://zenodo.org/record/573987/files/12.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Florida		US-FL	null	null
