title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
Alabama Synthetic Ecosystem	"Alabama synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573978	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000001	https://zenodo.org/record/573978/files/01.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Alabama	1611	US-AL	null	null	FALSE	TRUE	humans in region of Alabama	http://www.pitt.edu/obc/IDE_0000001136
Alaska Synthetic Ecosystem	"Alaska synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573979	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000002	https://zenodo.org/record/573979/files/02.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Alaska	1612	US-AK	null	null	FALSE	TRUE	humans in region of Alaska	http://www.pitt.edu/obc/IDE_0000001138
Argentina Synthetic Ecosystem	Argentina synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574029	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000052	https://zenodo.org/record/574029/files/arg.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Argentina	4977	AR	32	ARG	FALSE	TRUE	humans in region of Argentina	http://www.pitt.edu/obc/IDE_0000000802
Arizona Synthetic Ecosystem	"Arizona synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573980	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000003	https://zenodo.org/record/573980/files/04.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Arizona	1576	US-AZ	null	null	FALSE	TRUE	humans in region of Arizona	http://www.pitt.edu/obc/IDE_0000001102
Arkansas Synthetic Ecosystem	"Arkansas synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573981	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000004	https://zenodo.org/record/573981/files/05.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Arkansas	1577	US-AR	null	null	FALSE	TRUE	humans in region of Arkansas	http://www.pitt.edu/obc/IDE_0000001129
Armenia Synthetic Ecosystem	Armenia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574030	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000053	https://zenodo.org/record/574030/files/arm.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Armenia	4985	AM	51	ARM	FALSE	TRUE	humans in region of Armenia	http://www.pitt.edu/obc/IDE_0000000890
Austria Synthetic Ecosystem	Austria synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574031	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000054	https://zenodo.org/record/574031/files/aut.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Austria	4964	AT	40	AUT	FALSE	TRUE	humans in region of Austria	http://www.pitt.edu/obc/IDE_0000000820
Bangladesh Synthetic Ecosystem	Bangladesh synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574033	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000056	https://zenodo.org/record/574033/files/bgd.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Bangladesh	5039	BD	50	BGD	FALSE	TRUE	humans in region of Bangladesh	http://www.pitt.edu/obc/IDE_0000000894
Belarus Synthetic Ecosystem	Belarus synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574034	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000057	https://zenodo.org/record/574034/files/blr.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Belarus	4972	BY	112	BLR	FALSE	TRUE	humans in region of Belarus	http://www.pitt.edu/obc/IDE_0000000860
Bolivia Synthetic Ecosystem	Bolivia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574035	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000058	https://zenodo.org/record/574035/files/bol.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Bolivia	4963	BO	68	BOL	FALSE	TRUE	humans in region of Bolivia	http://www.pitt.edu/obc/IDE_0000000807
