title	datasetIdentifier	disease	authors	created	modified	curated	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Alabama Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000001	https://zenodo.org/api/files/257990ad-f5f2-4e2c-a826-aa2504951357/01.tar.gz	null	SPEW.US format	Alabama	1611	US-AL	null	null
Alaska Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000002	https://zenodo.org/api/files/f26579d1-1561-495b-b495-c31ede6e0698/02.tar.gz	null	SPEW.US format	Alaska	1612	US-AK	null	null
Arizona Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000003	https://zenodo.org/api/files/4759ba50-30f7-40d4-8aeb-f84a328c10ad/04.tar.gz	null	SPEW.US format	Arizona	1576	US-AZ	null	null
Arkansas Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000004	https://zenodo.org/api/files/0e8638c0-1483-49b8-b923-dcbd115bf5f5/05.tar.gz	null	SPEW.US format	Arkansas	1577	US-AR	null	null
California Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000005	https://zenodo.org/api/files/6a53f14a-cd89-4042-a542-de52919d7876/06.tar.gz	null	SPEW.US format	California	1613	US-CA	null	null
Colorado Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000006	https://zenodo.org/api/files/a0ac5785-3870-44a9-9bc2-ccee88f286aa/08.tar.gz	null	SPEW.US format	Colorado	1578	US-CO	null	null
Connecticut Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000007	https://zenodo.org/api/files/3a249d86-f862-4408-acd2-a5be588a462c/09.tar.gz	null	SPEW.US format	Connecticut	1579	US-CT	null	null
Delaware Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000008	https://zenodo.org/api/files/4d26c987-ed7f-4a1f-bc65-86e337a5916b/10.tar.gz	null	SPEW.US format	Delaware	1614	US-DE	null	null
District of Columbia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000009	https://zenodo.org/api/files/e49d09fd-26d8-42a6-988b-a8a831caebf3/11.tar.gz	null	SPEW.US format	District of Columbia	1580	US-DC	null	null
Florida Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000010	https://zenodo.org/api/files/ade58c68-c232-4cd2-88fb-73667bbe004a/12.tar.gz	null	SPEW.US format	Florida	1608	US-FL	null	null
Georgia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000011	https://zenodo.org/api/files/6ea7643e-82c2-4f4f-b512-1bab5f720997/13.tar.gz	null	SPEW.US format	Georgia	1581	US-GA	null	null
Hawaii Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000012	https://zenodo.org/api/files/b6348bca-a961-42ab-9eef-d21f734f9ccc/15.tar.gz	null	SPEW.US format	Hawaii	1615	US-HI	null	null
Idaho Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000013	https://zenodo.org/api/files/9cb066cc-19d3-461b-afd3-3efda5413459/16.tar.gz	null	SPEW.US format	Idaho	1582	US-ID	null	null
Illinois Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000014	https://zenodo.org/api/files/eb1863e0-c2ec-4c82-9103-f9bba7ba0553/17.tar.gz	null	SPEW.US format	Illinois	1583	US-IL	null	null
Indiana Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000015	https://zenodo.org/api/files/1b262982-0158-4c6d-95fa-91fac9f5d418/18.tar.gz	null	SPEW.US format	Indiana	1616	US-IN	null	null
Iowa Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000016	https://zenodo.org/api/files/1597368f-617d-4d61-84f9-a713b9010827/19.tar.gz	null	SPEW.US format	Iowa	1584	US-IA	null	null
Kansas Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000017	https://zenodo.org/api/files/d2eeb24e-e694-4e57-bf3f-65ff0dd57fe7/20.tar.gz	null	SPEW.US format	Kansas	1585	US-KS	null	null
Kentucky Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000018	https://zenodo.org/api/files/ddfd1eb4-1124-4bc0-aa1f-2fdce1b1096b/21.tar.gz	null	SPEW.US format	Kentucky	1617	US-KY	null	null
Louisiana Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000019	https://zenodo.org/api/files/2b113b95-4d5a-474a-8c86-e6197328729e/22.tar.gz	null	SPEW.US format	Louisiana	1586	US-LA	null	null
Maine Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000020	https://zenodo.org/api/files/9b46a9f0-2f3c-4caa-b37d-29ed0b7afc4a/23.tar.gz	null	SPEW.US format	Maine	1618	US-ME	null	null
