title	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Alabama Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573978	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000001	https://zenodo.org/record/573978/files/01.tar.gz	null	SPEW.US format	Alabama	1611	US-AL	null	null
Alaska Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573979	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000002	https://zenodo.org/record/573979/files/02.tar.gz	null	SPEW.US format	Alaska	1612	US-AK	null	null
Arizona Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573980	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000003	https://zenodo.org/record/573980/files/04.tar.gz	null	SPEW.US format	Arizona	1576	US-AZ	null	null
Arkansas Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573981	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000004	https://zenodo.org/record/573981/files/05.tar.gz	null	SPEW.US format	Arkansas	1577	US-AR	null	null
California Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573982	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000005	https://zenodo.org/record/573982/files/06.tar.gz	null	SPEW.US format	California	1613	US-CA	null	null
Colorado Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573983	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000006	https://zenodo.org/record/573983/files/08.tar.gz	null	SPEW.US format	Colorado	1578	US-CO	null	null
Connecticut Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573984	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000007	https://zenodo.org/record/573984/files/09.tar.gz	null	SPEW.US format	Connecticut	1579	US-CT	null	null
Delaware Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573985	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000008	https://zenodo.org/record/573985/files/10.tar.gz	null	SPEW.US format	Delaware	1614	US-DE	null	null
District of Columbia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573986	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000009	https://zenodo.org/record/573986/files/11.tar.gz	null	SPEW.US format	District of Columbia	1580	US-DC	null	null
Florida Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573987	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000010	https://zenodo.org/record/573987/files/12.tar.gz	null	SPEW.US format	Florida	1608	US-FL	null	null
