title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
Counts of Acquired immune deficiency syndrome reported in UNITED STATES OF AMERICA: 1984-2005	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.62479008	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.62479008/	http://www.tycho.pitt.edu/tycho/dataset/download/US.62479008	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; HIV-1 in the United States	http://www.pitt.edu/obc/IDE_0000000021;http://www.pitt.edu/obc/IDE_0000000230
Counts of Active tuberculosis reported in UNITED STATES OF AMERICA: 1972-1974	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.427099000	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.427099000/	http://www.tycho.pitt.edu/tycho/dataset/download/US.427099000	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Mycobacterium tuberculosis in the United States	http://www.pitt.edu/obc/IDE_0000000021;http://www.pitt.edu/obc/IDE_0000000263
Counts of Acute nonparalytic poliomyelitis reported in UNITED STATES OF AMERICA: 1954-1963	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.14535005	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.14535005/	http://www.tycho.pitt.edu/tycho/dataset/download/US.14535005	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Human poliovirus 1 in United States; Human poliovirus 3 in United States	http://www.pitt.edu/obc/IDE_0000000021; http://www.pitt.edu/obc/IDE_0000001731
Counts of Acute paralytic poliomyelitis reported in UNITED STATES OF AMERICA: 1954-1972	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.240460008	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.240460008/	http://www.tycho.pitt.edu/tycho/dataset/download/US.240460008	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Human poliovirus 1 in United States; Human poliovirus 3 in United States	http://www.pitt.edu/obc/IDE_0000000021; http://www.pitt.edu/obc/IDE_0000005334; http://www.pitt.edu/obc/IDE_0000005333
Counts of Acute poliomyelitis reported in UNITED STATES OF AMERICA: 1912-1971	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.398102009	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.398102009/	http://www.tycho.pitt.edu/tycho/dataset/download/US.398102009	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Human poliovirus 1 in United States; Human poliovirus 3 in United States	http://www.pitt.edu/obc/IDE_0000000021; http://www.pitt.edu/obc/IDE_0000005334; http://www.pitt.edu/obc/IDE_0000005333
Counts of Acute type A viral hepatitis reported in UNITED STATES OF AMERICA: 2001-2016	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.25102003	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.25102003/	http://www.tycho.pitt.edu/tycho/dataset/download/US.25102003	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Hepatitis A virus in the United States	http://www.pitt.edu/obc/IDE_0000000021;http://www.pitt.edu/obc/IDE_0000000270
Counts of Acute type B viral hepatitis reported in UNITED STATES OF AMERICA: 2001-2016	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.76795007	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.76795007/	http://www.tycho.pitt.edu/tycho/dataset/download/US.76795007	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Hepatitis B virus in the United States	http://www.pitt.edu/obc/IDE_0000000021; http://www.pitt.edu/obc/IDE_0000001867
Counts of Amebic dysentery reported in UNITED STATES OF AMERICA: 1942-1948	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.387754006	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.387754006/	http://www.tycho.pitt.edu/tycho/dataset/download/US.387754006	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Entamoeba in the United States	http://www.pitt.edu/obc/IDE_0000000021; http://www.pitt.edu/obc/IDE_0000001850
Counts of Anthrax reported in UNITED STATES OF AMERICA: 1942-1945	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.409498004	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.409498004/	http://www.tycho.pitt.edu/tycho/dataset/download/US.409498004	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA; Bacillus anthracis in the United States	http://www.pitt.edu/obc/IDE_0000000021;http://www.pitt.edu/obc/IDE_0000001418
Counts of Aseptic meningitis reported in UNITED STATES OF AMERICA: 1960-1994	"Project Tycho datasets contain case counts for reported disease conditions for countries around the world. The Project Tycho data curation team extracts these case counts from various reputable sources, typically from national or international health authorities, such as the US Centers for Disease Control or the World Health Organization. These original data sources include both open- and restricted-access sources. For restricted-access sources, the Project Tycho team has obtained permission for redistribution from data contributors. All datasets contain case count data that are identical to counts published in the original source and no counts have been modified in any way by the Project Tycho team. The Project Tycho team has pre-processed datasets by adding new variables, such as standard disease and location identifiers, that improve data interpretability. We also formatted the data into a standard data format.  Each Project Tycho dataset contains case counts for a specific condition (e.g. measles) and for a specific country (e.g. The United States). Case counts are reported per time interval. In addition to case counts, datasets include information about these counts (attributes), such as the location, age group, subpopulation, diagnostic certainty, place of acquisition, and the source from which we extracted case counts. One dataset can include many series of case count time intervals, such as ""US measles cases as reported by CDC"", or ""US measles cases reported by WHO"", or ""US measles cases that originated abroad"", etc.   Depending on the intended use of a dataset, we recommend a few data processing steps before analysis: - Analyze missing data: Project Tycho datasets do not include time intervals for which no case count was reported (for many datasets, time series of case counts are incomplete, due to incompleteness of source documents) and users will need to add time intervals for which no count value is available. Project Tycho datasets do include time intervals for which a case count value of zero was reported. - Separate cumulative from non-cumulative time interval series. Case count time series in Project Tycho datasets can be ""cumulative"" or ""fixed-intervals"". Cumulative case count time series consist of overlapping case count intervals starting on the same date, but ending on different dates. For example, each interval in a cumulative count time series can start on January 1st, but end on January 7th, 14th, 21st, etc. It is common practice among public health agencies to report cases for cumulative time intervals. Case count series with fixed time intervals consist of mutually exclusive time intervals that all start and end on different dates and all have identical length (day, week, month, year). Given the different nature of these two types of case count data, we indicated this with an attribute for each count value, named ""PartOfCumulativeCountSeries"".  "	10.25337/T7/ptycho.v2.0/US.301770000	null	Willem Van Panhuis; Anne Cross; Donald Burke	2018-01-30	null	null	http://www.tycho.pitt.edu/tycho/dataset/US.301770000/	http://www.tycho.pitt.edu/tycho/dataset/download/US.301770000	CSV	Project Tycho Data Standard; bsg-s000718	Attribution-NonCommercial-ShareAlike 4.0 International	UNITED STATES OF AMERICA	https://www.iso.org/obp/ui/#iso:code:3166:US	null	null	null	FALSE	FALSE	humans in region of UNITED STATES OF AMERICA	http://www.pitt.edu/obc/IDE_0000000021
