title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Health and Vital	This website with data contains data about notifiable diseases, morbidity, HIV/AIDS, tuberculosis, acute respiratory diseases, malaria, diarrhoae and dysentery, leprosy, schistosomiasis in Zimbabwe from 2009 to 2014 year in PDF format. Spatial coverage is country, and spatial resolution is country and province. Temporal coverage is 2009-2014, and temporal resolution is yearly. Open access.	null	null	Zimbabwe National Statistics Agency	null	null	null	http://www.zimstat.co.zw/health-and-vital	null	PDF	null	null	Zimbabwe	5038	ZW	null	null
Statistical Bulletins	This website with data contains data about notifiable and communicable diseases in Zambia from 2009 to 2012 year in PDF format. Spatial coverage is country, and spatial resolution is country and province. Temporal coverage is 2009-2012, and temporal resolution is yearly. Open access.	null	null	Ministry of Health of Zambia	null	null	null	http://www.moh.gov.zm/	null	PDF	null	null	Zambia	5066	ZM	null	null
Publications	This website with data contains data about notifiable and communicable diseases in Zambia for 2005 year in PDF format. Spatial coverage is country, and spatial resolution is country and province. Temporal coverage is 20052, and temporal resolution is yearly. Open access.	null	null	National Malaria Control Centre	null	null	null	http://www.nmcc.org.zm/publications.htm	null	PDF	null	null	Zambia	5066	ZM	null	null
Annual Health Statistics Reports	This website with data contains data about demographic, vital statistics, incidences of morbidity by ICD and notifiable infectious diseases and immunization coverage in Yemen from 2004 to 2014 year in PDF format. Spatila coverage is country, and spatial resolution is country and governorate. Temporal coverage is 2004-2014, and temporal resolution is yearly. Open access.	null	null	Ministry of Public Health and Population of the Republic of Yemen	null	null	null	http://www.mophp-ye.org/arabic/reports_statistical.html	null	PDF	null	null	Yemen	5005	YE	null	null
Health Profile for Wallis and Futuna (France)	This website with data contains data about populaiton (1996), TB mortality rate (2009), TB revalence rate (2009) in Wallis and Futuna on the webpage. Open access.	null	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/WallisandFutuna/HealthProfiles/TabId/206/ArtMID/1185/ArticleID/123/Default	null	-	null	null	Wallis and Futuna (France)	7058	WF	null	null
Data	This database contains data about cancer, demography, dental and oral health, diseases of the circulatory system, diseases of the digestive system, diseases of the respiratory system (influenza), external causes of morbidity (incidence of influenza) and mortality (mortality due to influenza), hospital admissions, maternity and child health, mortality, substance misuse in Wales 2006-2015 from 2006 to 2015 in HTML, XML, XLSX and CSV format. Spatial coverage is country, spatial resolution is Local Health Board, Local Authority, USOA. Temporal coverage is 2006-2015, and temporal resolution is yearly. Open access.	null	null	Health Maps Wales	null	null	null	https://www.healthmapswales.wales.nhs.uk/IAS/dataviews/	null	HTML, XML, XLSX, CSV	null	null	Wales	5019	GB	null	null
Health, Culture, Sport and Living standard	This database contains data about HIV (2011-2015), climate (2002-2015), population (1990-2015) in Viet Nam in PX, CSV, and Excel format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2011-2015, and temporal resolution is yearly. Open access.	null	null	General Statistics Office of Viet Nam	null	null	null	http://www.gso.gov.vn/default_en.aspx?tabid=783	null	PX, CSV, Excel	null	null	Viet Nam	5129	VN	null	null
WHO Global Health Observatroy data: Viet Nam	This website with data contains WHO Global Health Observatory data for Viet Nam at country level with a yearly temporal resolution from 1980 to 2016 in XLSX, CSV, PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1980-2016, and temporal resolution is yearly. Open access.	null	null	World Health Organization	null	null	null	http://www.who.int/gho/countries/vnm/country_profiles/en/	null	XLSX, CSV, PDF	null	null	Viet Nam	5129	VN	null	null
Survey and Assessment of Vietnamese Youth (SAVY) in 2003	This website with data contains survey data about health status of adolescents in Vietnam conducted in 2003 in XLSX format. Spatial coverage is sub-country, and spatial resolution is province. Temporal coverage is 2015, and temporal resolution is yearly. Available for log-in users.	null	null	Natiional Archive of Computerized Data on Aging	null	null	null	http://www.icpsr.umich.edu/icpsrweb/NACDA/studies/24387	null	XLSX, TSV	null	null	Viet Nam	5129	VN	null	null
Viet Nam WHO statistical profile 2015	This website with data contains data about demographics and children immunization for Veit Nam at country level in 2015 in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2015, and temporal resolution is yearly. Open access.	null	null	World Health Organization	null	null	null	http://www.who.int/gho/countries/vnm.pdf?ua=1	null	PDF	null	null	Viet Nam	5129	VN	null	null
Automated Health Control and Surveillance System	No public access.	null	null	Automated Health Control and Surveillance System of the Government of Venezuela	null	null	null	http://190.205.57.254/sistemas1/index.html	null	unknown	null	null	Venezuela	4995	VE	null	null
Catalog of publications-Articles	This website with data contains data about incidences of selected infectious diseases in Uzbekistan from 2012 to 2014 and cases of gonorrhea and syphilis from 2007 to 2014 year in HTML format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2007-2014, 2012-2014, and temporal resolution is yearly.	null	null	Informational portal to health statistics on infectious disease incidences by year, Uzbekistan	null	null	null	http://med.uz/public/statyi/index.php	null	HMTL	null	null	Uzbekistan	5062	UZ	null	null
Statistical Information	This website with data contains data about incidences of HIV/AIDS in Uzbekistan from 2012 to 2015 year in CSV, XML, JSON format. Spatial coverage is country, and spatial resolution is country. Temporal coverage si 2012-2015, and temporal resolution is yearly. Open access. Requires to download a special software eStat 2.0 (version 2.0.1.0).	null	null	The State Committee on Statistics of the Republic of Uzbekistan	null	null	null	http://www.stat.uz/ru/141-otkrytye-dannye/1625-zabolevaemost-naseleniya-otdelnymi-infektsionnymi-zabolevaniyami	null	CSV, XML, JSON	null	null	Uzbekistan	5062	UZ	null	null
Epidemiological Bulletin	This website with data contains data about epidemiological bulletin from Uruguay at country level in 2016 and 2017 including the past decade data in PDF format in Spanish. Temporal resolution is yearly. Open access.	null	null	The Ministry of Health of Uruguay	null	null	null	http://www.msp.gub.uy/publicaciones/epidemiolog%C3%ADa/datos-boletines-recomendaciones	null	PDF	null	null	Uruguay	5098	UY	null	null
Epidemiological Bulletin-World HIV/AIDS Day report	This website with data contains data about HIV/AIDS from Uruguay at country level from 2011 to 2015 in PDF format in Spanish. Temporal resolution is yearly. Open access.	null	null	The Ministry of Health of Uruguay	null	null	null	http://www.msp.gub.uy/publicaci%C3%B3n/bolet%C3%ADn-epidemiol%C3%B3gico-d%C3%ADa-mundial-vihsida	null	PDF	null	null	Uruguay	5098	UY	null	null
Online Tuberculosis Information System (OTIS) TB Data 1993-2014, Archive Request	This website with data contains data about tuberculosis by demographic and risk factors in the United States from 1993 to 2014 in HTML and TXT format.Spatial coverage is country, and spatial resolution is state. Temporal coverage is 1993-2014, and temporal resolution is yearly. Open access.	null	null	Centers for Disease Control and Prevention	null	null	null	https://wonder.cdc.gov/TB-v2014.html	null	HTML, TXT	null	null	United States	1216	US	null	null
Summary of Notifiable Infectious Diseases from MMWR	This website with data contains data about number of reported cases of notifiable diseases and rates per 100,000 population by geographic location, and demographic characteristics (e.g., age, sex, race, and ethnicity) from the United States and U.S. territories at state level with a yearly temporal resolution from 1993 to 2014 in HTML format. Open access.	null	null	The National Notifiable Diseases Surveillance System (NNDSS), CDC	null	null	null	https://www.cdc.gov/mmwr/mmwr_nd/index.html	null	HTML	null	null	United States	1216	US	null	null
Communicable Disease Data	This website with data contains data about communicable diseases from California at county level at a yearly temporal resolution from 1994 to 2015 in PDF format. Open access.	null	null	The Department of Public Health of California	null	null	null	https://archive.cdph.ca.gov/data/statistics/Pages/CDdata.aspx	null	PDF	null	null	United States	1216	US	null	null
Health and social care	This database contains data about Datasets on causes of death, child health, conditions and diseases (cancer), disability, durg use, alcohol and smoking, health care system, health and life expectancies in the United Kingdom and Wales from 2001 to 2013 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2001-2103, and temporal resolution is yearly. Open access.	null	null	Office for National Statistics of the United Kingdom	null	null	null	https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare	null	XLSX	null	null	United Kingdom and Wales	5019	GB	null	null
