title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Statistical Information on Demogarphics of Anguilla	This website with data contains data about Demography & Culture. Economic Activity, Education & Training, Health, Disabilities & Insurance Coverage and Population Projections from Anguilla in 2001; however, there is no infectious diseases data.	MIDAS-ISG:WS-000012	null	Anguilla Statistics Department	null	null	null	http://www.gov.ai/statistics/statistics.htm	null	HTML	null	null	Anguilla		AI	null	null
Statistical Information on Demogarphics of Antigua and Barbuda	This website with data contains demographic data from Antigua and Barbuda from 2006 to 2013. But there is no infectious diseases data.	MIDAS-ISG:WS-000014	null	Antigua and Barbuda?s Government Information and Services	null	null	null	http://www.ab.gov.ag/detail_page.php?page=5	null	PDF	null	null	Antigua and Barbuda		AG	null	null
Annual Indicators on Morbidity and Infectious Disease of the Republic of Armenia	This website with data contains data about morbidity and incidences of HIV/AIDS in Armenia from 2015 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 2015-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000017	null	The Ministry of Health of Armenia	null	null	null	http://www.moh.am/#1/95	null	PDF	null	null	Armenia		AM	null	null
Vaccination Coverage Percentage for Countries and Territories of the Americas	This website with data contains data about vaccination coverage of DTP 3, Measles MMR1, and MMR2 from Aruba at country level with a yearly temporal resolution from 2007 to 2010 in PDF format. Open access.	MIDAS-ISG:WS-000021	null	World Health Organization, PAHO	null	null	null	http://www.paho.org/data/index.php/en/mnu-topics/immunizations/296-vaccination-coverage-by-country.html	null	PDF	null	null	Aruba		AW	null	null
Data on Population Morbidity and Infectious Disease of the Republic of Azerbaijan	This website with data contains data about demographic, mortality, incidences of HVI/AIDS and STDs in Azerbaijan for 2000-2015, 2007- 2015 year in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2000-2015, 2007-2015, and temporal resolution is yearly.	MIDAS-ISG:WS-000032	null	The State Statistical Committee of the Republic of Azerbaijan	null	null	null	http://www.stat.gov.az/source/healthcare/?lang=az	null	XLSX	null	null	Azerbaijan		AZ	null	null
Health Statistics on Malaria, Tuberculosis and Leprosy of the Government of Bangladesh	This website with data contains data about infectious disease from Bangladesh at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MIDAS-ISG:WS-000037	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-BGD?lang=en	null	CSV, XML, JSON	null	null	Bangladesh		BD	null	null
Statistics on Basic Indicators, Nutrition, Health, HIV/AIDS, Education, and Demographic Indicators, Economic Indicators, Women, Child Protection, The Rate of Progress, Adolsecents, Disparities by Residence, by Household Wealth, and Childhood Development by UNICEF	This website with data contains data about demographic indicators HIV/AIDS, immunization coverage, and mortality rates from Barbados at country level with a yearly temporal resolution in 2012 in HTML format. Open access.	MIDAS-ISG:WS-000040	null	UNICEF, Barbados	null	null	null	https://www.unicef.org/infobycountry/barbados_statistics.html	null	HTML	null	null	Barbados		BB	null	null
Data on STDs and Vital Statistics in Bermuda	This website with data contains data about Basic Health indicators 2006-2016, HIV/AIDS Report 2016, Annual STDs Statistics 2015 from Bermuda at country level with a yearly temporal resolution in PDF format. Open access.	MIDAS-ISG:WS-000050	null	The Government of Bermuda	null	null	null	https://www.gov.bm/health-data-and-monitoring	null	PDF	null	null	Bermuda		BM	null	null
Health Statistics on AIDS, Malaria, Tuberculosis and Dengue in Bermuda	This website with data contains data about PAHO Data & Statistics (2008-2012), OECD Health Statistics including Bermuda data (2009-2015) at country level with a yearly temporal resolution in PDF format. Open to access to the public.	MIDAS-ISG:WS-000051	null	Bermuda Health Council	null	null	null	http://bhecbm00000.web704.discountasp.net/resources/health_stats.html	null	PDF	null	null	Bermuda		BM	null	null
Demographic Data and Vaccination Coverage reports in Cambodia	This website with data contains data about demographics, births, antenatal care and utilization of health services in Cambodia at province or country level with a yearly temporal resolution in PDF format. Open access.	MIDAS-ISG:WS-000076	null	The Department of Planning and Health Information, Ministry of Health of Cambodia	null	null	null	http://www.hiscambodia.org/public/health_statistic_en.php?m=6	null	PDF	null	null	Cambodia		KH	null	null
Health Indicators in Chile	This database contains survey data on health indicators for 2003 and 2009-2010 from Chile at province and country level with a yearly temporal resolution in SAV and XLSX format in Spanish. Open access.	MIDAS-ISG:WS-000084	null	The Department of Epidemiology of the Ministry of Health of Chile	null	null	null	http://epi.minsal.cl/bases-de-datos/	null	XLSX, SAV	null	null	Chile		CL	null	null
Population Surveys Demographics and Chronic Disease in Chile	This website with data contains data about the Chilean population, characterized by an increase in life expectancy, an increase in the proportion of older adults and the prevalence of chronic and degenerative diseases at country level with a yearly temporal resolution from 2003 to 2017 in PDF format in Spanish. Open access.	MIDAS-ISG:WS-000088	null	The Department of Epidemiology of the Ministry of Health of Chile	null	null	null	http://epi.minsal.cl/encuestas-poblacionales/	null	PDF	null	null	Chile		CL	null	null
Historical digital archive of information on Vital Statistics, Hospital discharge, Health care and resources statistics, and  Notifiable diseases of the Department of Health Statistics and Information of Chile	This website with data contains data about historical data on vital statistics, hospital discharge, health care and resources, and compulsary notifiable infectious diseases from Chile at country, region and commune level with yearly temporal resolution from 1995 to 2002 in XLSX format in Spanish. Open access.	MIDAS-ISG:WS-000093	null	The Department of Health Statistics and Information of Chile	null	null	null	http://www.deis.cl/archivo-historico/	null	XLSX	null	null	Chile		CL	null	null
