title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
A Data Query for Infectious Disease Reports of the National Institute for Public Health and the Environment of Netherlands	"This website with data contains data about infectious diseases in Netherlands from 2009 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2009-2016, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000325	null	"RIVM, National Institute for Public Health and the Environment, Netherlands"	null	null	null	http://www.rivm.nl/Onderwerpen/M/Meldingsplicht_infectieziekten/Open_rapportages_meldingsplichtige_infectieziekten/Aantal_meldingen_per_infectieziekte_per_jaar	null	HTML	null	null	Netherlands	5197	NL	null	null	null	null	Hepatitis B virus in Netherlands	http://www.pitt.edu/obc/IDE_0000004571
"An Overview of the Health Situation in Peru, 1999-2016"	This website with data contains overview reports about the health situation in Peru from 1999 to 2016 in PDF format in Spanish. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000359	null	"National Center for Epidemiology, Prevention and Control of Diseases, The Ministry of Health of Peru"	null	null	null	http://www.dge.gob.pe/portal/index.php?option=com_content&view=article&id=405&Itemid=353	null	PDF	null	null	Peru	5141	PE	null	null	null	null	Chikungunya virus in Peru	http://www.pitt.edu/obc/IDE_0000001605
"Annual and Monthly Data on Communicable Infectious Diseases in Lebanon, 2005-2016"	"This website with data contains data about incidences of notfiable infectious diseases in Lebanon from 2005 to 2016 year in HTML format. Spatial coverage is country, and spatial resolution is country and region. Temporal coverage is 2005-2016, and temporal resolution is yearly, monthly, weekly. Open access."	MIDAS-ISG:WS-000208	null	Ministry of Public Health of Lebanon	null	null	null	http://www.moph.gov.lb/ar/Pages/2/194/%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D8%A8%D8%A7%D8%A6%D9%8A%D8%A9#/ar/view/196/general-surveillance-data-past-years	null	HTML	null	null	Lebanon	5004	LB	null	null	null	null	Hepatitis B virus in Lebanon	http://www.pitt.edu/obc/IDE_0000004577
"Annual and Monthly Data on Infectious Diseases in Latvia, 2002-2017"	"This website with data contains data about infectious and parasitic diseases in Latvia from 2002 to 2017 year in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2002-2017, and temporal resolution is yearly, monthly. Open access."	MIDAS-ISG:WS-000207	null	Centre for Disease Prevention and Control of Latvia	null	null	null	https://www.spkc.gov.lv/lv/statistika-un-petijumi/infekcijas-slimibas/epidemiologijas-bileteni1	null	PDF	null	null	Latvia	5181	LV	null	null	null	null	HIV-1 in Latvia	http://www.pitt.edu/obc/IDE_0000004131
"Annual and Monthly Reports on Infectious Diseases in Lithuania, 2003-2017"	"This website with data contains data about infectious diseases and tuberculin skin resr performance reports in Lithuania from 2003 to 2017 year in PDF, XLS format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2003-2017, and temporal resolution is yearly, monthly. Open access."	MIDAS-ISG:WS-000212	null	"Centre for Communicable Disease and AIDS, Lithuania"	null	null	null	http://www.ulac.lt/ataskaitos#metines	null	XLS; PDF	null	null	Lithuania	5042	LT	null	null	null	null	Mycobacterium tuberculosis in Lithuania	http://www.pitt.edu/obc/IDE_0000004410
"Annual and Weekly Reports on Notifiable Infectious Diseases in Japan, 1999-2005"	"This website with data contains data about notifiable diseases and sentinel-reporting diseases in Japan from 1999 to 2005 in Excel format in English. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 1999-2005, and temporal resolution is yearly, weekly. Open access."	MIDAS-ISG:WS-000196	null	Infectious Disease Surveillance Center of Japan	null	null	null	http://idsc.nih.go.jp/idwr/ydata/index-e.html	null	XLSX	null	null	Japan	5068	JP	null	null	null	null	HIV-1 in Japan	http://www.pitt.edu/obc/IDE_0000004217
"Annual Communicable disease Reports of the Slovak Republic, 2005-2016."	"This website with data contains data about communicable diseases of the Slovak Republic from 2005 to 2016 in PDF format. Spatal coverage is country, and spatial resolution is country. Temporal coverage is 2005-2016, and temporal resolution is monthly, yearly. Open access."	MIDAS-ISG:WS-000409	null	Epidemiological Information System of the Slovak Republic (EPIS)	null	null	null	http://www.epis.sk/InformacnaCast/Publikacie/VyrocneSpravy.aspx	null	PDF	null	null	Slovakia	5033	SK	null	null	null	null	Bordetella pertussis in Slovakia	http://www.pitt.edu/obc/IDE_0000004589
Annual Data on Demographics and Mortality of the Statistics Sweden	"This database contains data about demographics, 1970-2015, all cause deaths, 1969-1996 and environment in Sweden in SCB, PX and XLSL format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 1970-2015, 1960-1990, 1969-1996, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000432	null	Statistics Sweden	null	null	null	http://www.statistikdatabasen.scb.se/pxweb/sv/ssd/?rxid=f45f90b6-7345-4877-ba25-9b43e6c6e299	null	SCB; PX; XLSX	null	null	Sweden	5009	SE	null	null	null	null	Mycobacterium tuberculosis in Sweden	http://www.pitt.edu/obc/IDE_0000004331
"Annual Data on Demographics, Vital Statistics and Malaria, Tuberculosis and Rabies cases of the Ministry of Public Health and Population of the Republic of Yemen, 2004-2014"	"This website with data contains data about demographic, vital statistics, incidences of morbidity by ICD and notifiable infectious diseases and immunization coverage in Yemen from 2004 to 2014 year in PDF format. Spatila coverage is country, and spatial resolution is country and governorate. Temporal coverage is 2004-2014, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000523	null	Ministry of Public Health and Population of the Republic of Yemen	null	null	null	http://www.mophp-ye.org/arabic/reports_statistical.html	null	PDF	null	null	Yemen	5005	YE	null	null	null	null	Mycobacterium tuberculosis in Yemen	http://www.pitt.edu/obc/IDE_0000004538
"Annual Data on HIV and AIDS of the Center of Public Health of Ukraine, 2013-2017"	"This website with data contains data about monthly incidences of HIV/AIDS in Ukraine by region from 2013 to 2017 year in PDF format. Spatial coverage is country, and spatial resolution is country, subcountry, state. Temporal coverage is 2013-2017,a dntemporal resolution is monthly. Open access."	MIDAS-ISG:WS-000470	null	"Center of public health, Ukraine"	null	null	null	http://phc.org.ua/pages/diseases/hiv_aids/statistics/hiv-aids-treatment	null	PDF	null	null	Ukraine	4958	UA	null	null	null	null	HIV-1 in Ukraine	http://www.pitt.edu/obc/IDE_0000004289
