title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus
Federal Center against HIV/AIDS of Russia	The latest epidemiological data on HIV in the Russian Federation	http://www.hivrussia.ru/stat/index.shtml	null	Federal Center against HIV/AIDS The Federation of Russia	null	null	null	http://www.hivrussia.ru/stat/index.shtml	null	null	null	null	The Federation of Russia	null	null	null	null	null	null
CDC epi github of publically available Zika data	Data repository of publicly available Zika data	https://github.com/cdcepi/zika	null	Dania M  Rodriguez; Mike Johansson	null	null	2017-05-11	https://github.com/cdcepi/zika	null	null	null	null	Argentina; Brazil; Colombia; Dominican Republic; Ecuador; El Salvador; France; Guatemala; Haiti; Mexico; Nicaragua; Panama; Puerto Rico; US Virgin Islands; United States	4977; 5000; 5076; 5120; 5088; 5165; 4988; 5018; 4989; 5178; 5070; 5074; 1607; 1604; 1216	null; null; null; null; null; null; null; null; null; null; null; null; null; null; null	null; null; null; null; null; null; null; null; null; null; null; null; null; null; null	null; null; null; null; null; null; null; null; null; null; null; null; null; null; null	null	null
CDC WONDER US cause of death 1995-2015	CDC WONDER US cause of death 1995-2015	http://wonder.cdc.gov/ucd-icd10.html	null	 US CDC	null	null	2017-05-11	https://wonder.cdc.gov/ucd-icd10.html	null	null	null	null	United States	1216	null	840	USA	null	null
Statistical Data on Infectious Diseases in Finland	This database contains data about incidences of infectious diseases in Finland from 1995 to 2017 year in CSV, XLSX, PDF format. Spatial coverage is country, and spatial resolution is country and district. Temporal coverage is 1995-2017, and temporal resolution is yearly. Open access.	MDC:WS-000130	null	Infectious Disease Registry, Finland	null	null	null	https://www.thl.fi/ttr/gen/rpt/tilastot.html	null	CSV; XLSX; PDF	null	null	Finland	4974	FI	null	null	null	null
CDC WONDER US compressed mortality data	CDC WONDER US Compessed Mortality data. The Compressed Mortality data include mortality and population counts for all U.S. counties for the years 1968 to 2015. Counts and rates of death can be obtained by underlying cause of death, state, county, age, race, sex, and year.	http://wonder.cdc.gov/mortSQL.html	null	 US CDC	null	null	2017-05-11	https://wonder.cdc.gov/mortSQL.html	null	null	null	null	United States	1216	null	840	USA	null	null
Health Profiles for Pitcairn Islands (UK) by WHO	This website with data contains data about population from Pitcairn Islands at state level in 2008 on the webpage. Open access.	MDC:WS-000365	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/PitcairnIslands/HealthProfiles/TabId/196/ArtMID/1032/ArticleID/102/Default	null	-	null	null	Pitcairn Islands (UK)	4988	PN	null	null	null	null
Communicable Diseases Surveillance Data of Brunei Darussalam	Data is not available to the public.	MDC:WS-000066	null	The Ministry of Health of Brunei Darussalam	null	null	null	http://www.moh.gov.bn/SitePages/Communicable%20Disease%20Surveillance.aspx	null	-	null	null	Brunei Darussalam	5065	BN	null	null	null	null
Health Indicators in Chile	This database contains survey data on health indicators for 2003 and 2009-2010 from Chile at province and country level with a yearly temporal resolution in SAV and XLSX format in Spanish. Open access.	MDC:WS-000084	null	The Department of Epidemiology of the Ministry of Health of Chile	null	null	null	http://epi.minsal.cl/bases-de-datos/	null	XLSX; SAV	null	null	Chile	4956	CL	null	null	null	null
Annual Infectious Disease Reports of the Swiss Federal Office for Statistics, 2007-2016	This website with data contains data about number of infectious diseases in Switzerland and the Principality of Liechtenstein from 2007 to 2016 year in HTML format. Spatial coverage is country, and spatial resolution is canton. Temporal coverage is 2007-2016, and temporal resolution is yearly. Open access.	MDC:WS-000435	null	Swiss Federal Office for Statistics	null	null	null	https://www.bag.admin.ch/bag/fr/home/service/zahlen-fakten/zahlen-zu-infektionskrankheiten.html	null	HTML	null	null	Switzerland and the Principality of Liechtenstein	5176	CH	null	null	null	null
Surveillance Reports on Respiratory Infections of the Health Proctection Scotland	This website with data contains data aboutespiratory infections and vaccination in Scotland from different years in PDF format. Spatial coverage is country, and spatial resolution is NHS board. Temporal coverage is varied, and temporal resolution is quarterly, yearly. Open access.	MDC:WS-000391	null	Health Proctection Scotland	null	null	null	http://www.hps.scot.nhs.uk/resp/surveillance.aspx	null	PDF	null	null	Scotland	5019	GB	null	null	null	null
Health Statistics on AIDS, Malaria, Tuberculosis and Dengue in Bermuda	This website with data contains data about PAHO Data & Statistics (2008-2012), OECD Health Statistics including Bermuda data (2009-2015) at country level with a yearly temporal resolution in PDF format. Open to access to the public.	MDC:WS-000051	null	Bermuda Health Council	null	null	null	http://bhecbm00000.web704.discountasp.net/resources/health_stats.html	null	PDF	null	null	Bermuda	5046	BM	null	null	null	null
Zika virus Weekly Surveillance Reports of the Ministry of Health of Virgin Islands (the U.S.), 2016-2017	This website with data contains data about Zika Weekly Surveillance Reports from U.S Virgin Islands at province level with a weekly temporal resolution from 2016 to 2107 in PDF format. Open access.	MDC:WS-000506	null	United States Virgin Islands Ministry of Health	null	null	null	http://doh.vi.gov/topics/az/z/zika.html	null	PDF	null	null	United States Virgin Islands	1604	VI	null	null	null	null
Demographic, Vital Statistics and Infectious Disease in Greece, 2007-2015	This website with data contains data about reportted cases of infectious diseases in Greece from 2007 to 2015 year in XLS format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2007-2015, and temporal resolution is yearly. Open access.	MDC:WS-000149	null	Greek Statistical Authority	null	null	null	http://www.statistics.gr/el/statistics/-/publication/SHE15/2015	null	XLS	null	null	Greece	5090	GR	null	null	null	null
PAHO WHO Reported Cases of Chikungunya Fever in the Americas	Collection of reports on the number of reported cases of Chikungunya fever in the Americas made publically available by Pan American Health Organization and World Health Organization	MDC:WS-000531	null	 Pan American Health Organization;  World Health Organization	null	null	null	http://www.paho.org/hq/index.php?option=com_topics&view=readall&cid=5927&Itemid=40931&lang=en	null	csv; xlsx	Reported Cases of Chikungunya Fever; MDC:number-reported-cases-of-chikungunya-fever-in-the-americas-v1.0	null	Anguilla; Antigua and Barbuda; Argentina; Belize; Bermuda; Bolivia; Brazil; British Virgin Islands; Canada; Cayman Islands; Chile; Colombia; Costa Rica; Cuba; Curacao; Dominica; Dominican Republic; Ecuador; El Salvador; French Guiana; Grenada; Guadeloupe; Guatemala; Guyana; Haiti; Honduras; Jamaica; Martinique; Mexico; Montserrat; Nicaragua; Panama; Paraguay; Peru; Puerto Rico; Saint Barthelemy; Saint Kitts and Nevis; Saint Lucia; Saint Martin; Saint Vincent and the Grenadines; Sint Maarten; Suriname; Trinidad and Tobago; Turks and Caicos Islands; United States of America (the); Uruguay; Venezuela; Virgin Islands	5056; 5097; 4977; 5131; 5046; 4963; 5000; 5013; 5091; 5145; 4956; 5076; 5032; 5183; 5189; 5095; 5120; 5088; 5165; 5873; 3742; 7169; 5018; 5169; 4989; 4970; 4999; 7357; 5178; 5058; 5070; 5074; 4979; 5141; 1607; 6368; 5148; 5017; 6941; 5069; 5031; 5142; 5184; 5047; 1216; 5098; 4995; 1604	AI; AG; AR; BZ; BM; BO; BR; VG; CA; KY; CL; CO; CR; CU; CW; DM; DO; EC; SV; FR-GF; null; FR-GP; GT; GY; HT; HN; JM; FR-MQ; MX; MS; NI; PA; PY; PE; US-PR; FR-BL; KN; LC; FR-MF; VC; SX; SR; TT; TC; US; UY; VE; US-VI	660; 28; 32; 84; 60; 68; 76; 92; 124; 136; 152; 170; 188; 192; 531; 212; 214; 218; 222; null; null; null; 320; 328; 332; 340; 388; null; 484; 500; 558; 591; 600; 604; null; null; 659; 662; null; 670; 534; 740; 780; 796; 840; 858; 862; null	AIA; ATG; ARG; BLZ; BMU; BOL; BRA; VGB; CAN; CYM; CHL; COL; CRI; CUB; CUW; DMA; DOM; ECU; SLV; GUF; null; GLP; GTM; GUY; HTI; HND; JAM; MTQ; MEX; MSR; NIC; PAN; PRY; PER; PRI; BLM; KNA; LCA; MAF; VCT; SXM; SUR; TTO; TCA; USA; URY; VEN; VIR	null	null
Health statistics on Tuberculosis, Malaria, Cholera and HIV cases by WHO, 2002-2015	This website with data contains data about infectious disease from Nepal at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MDC:WS-000321	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-NPL?lang=en	null	CSV; XML; JSON	null	null	Nepal	5045	NP	null	null	null	null
Weekly Surveillance Data on Infectious Diseases in Jamaica, 2015-2017	This website with data contains data about weekly surveillance bulletin from Jamaica at province level from 2015 to 2017 in PDF format. Temporal resolution is weekly. Open access.	MDC:WS-000190	null	The Ministry of Health of Jamaica	null	null	null	http://moh.gov.jm/bulletins/	null	PDF	null	null	Jamaica	4999	JM	null	null	null	null
